2,2017-02-05.21-53-40,14:23,S3DA:H4HADQD8,S,PLAYER_WIN,1523794,5000,10000,{'step': 'Stop', 'state': 'true', 'bust': 'dealer', 'dealerPoints': 23, 'splited': 'false', 'totalCoins': 1543794, 'playerPoints': 14, 'win': 'W', 'player': [{'id': 15, 'value': 3}, {'id': 39, 'value': 1}], 'dealer': [{'id': 29, 'value': 4}, {'id': 26, 'value': 1}, {'id': 50, 'value': 12}, {'id': 46, 'value': 8}]}

1142,2017-02-05.21-58-33,21:13,CAHJ:HQH3,,PLAYER_BLACKJACK,1416294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1413794, 'cansplit': 'false', 'player': [{'id': 0, 'value': 1}, {'id': 36, 'value': 11}], 'dealer': [{'id': 37, 'value': 12}, {'id': 28, 'value': 3}]}

1152,2017-02-05.21-58-36,21:11,SJHA:S7D4,,PLAYER_BLACKJACK,1406294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1403794, 'cansplit': 'false', 'player': [{'id': 23, 'value': 11}, {'id': 26, 'value': 1}], 'dealer': [{'id': 19, 'value': 7}, {'id': 42, 'value': 4}]}

1153,2017-02-05.21-58-36,21:13,DAHQ:D3CT,,PLAYER_BLACKJACK,1411294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1408794, 'cansplit': 'false', 'player': [{'id': 39, 'value': 1}, {'id': 37, 'value': 12}], 'dealer': [{'id': 41, 'value': 3}, {'id': 9, 'value': 10}]}

1194,2017-02-05.21-58-47,21:14,SQHA:D4CQ,,PLAYER_BLACKJACK,1376294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1373794, 'cansplit': 'false', 'player': [{'id': 24, 'value': 12}, {'id': 26, 'value': 1}], 'dealer': [{'id': 42, 'value': 4}, {'id': 11, 'value': 12}]}

1197,2017-02-05.21-58-48,21:19,DKSA:CQD9,,PLAYER_BLACKJACK,1371294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1368794, 'cansplit': 'false', 'player': [{'id': 51, 'value': 13}, {'id': 13, 'value': 1}], 'dealer': [{'id': 11, 'value': 12}, {'id': 47, 'value': 9}]}

1211,2017-02-05.21-58-51,21:18,SJSA:DQC8,,PLAYER_BLACKJACK,1391294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1388794, 'cansplit': 'false', 'player': [{'id': 23, 'value': 11}, {'id': 13, 'value': 1}], 'dealer': [{'id': 50, 'value': 12}, {'id': 7, 'value': 8}]}

1271,2017-02-05.21-59-05,21:11,SKSA:H3C8,,PLAYER_BLACKJACK,1291294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1288794, 'cansplit': 'false', 'player': [{'id': 25, 'value': 13}, {'id': 13, 'value': 1}], 'dealer': [{'id': 28, 'value': 3}, {'id': 7, 'value': 8}]}

1273,2017-02-05.21-59-06,21:9,HQSA:C5H4,,PLAYER_BLACKJACK,1291294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1288794, 'cansplit': 'false', 'player': [{'id': 37, 'value': 12}, {'id': 13, 'value': 1}], 'dealer': [{'id': 4, 'value': 5}, {'id': 29, 'value': 4}]}

1325,2017-02-05.21-59-19,21:15,HJSA:D6S9,,PLAYER_BLACKJACK,1301294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1298794, 'cansplit': 'false', 'player': [{'id': 36, 'value': 11}, {'id': 13, 'value': 1}], 'dealer': [{'id': 44, 'value': 6}, {'id': 21, 'value': 9}]}

1333,2017-02-05.21-59-21,21:16,DTDA:STD6,,PLAYER_BLACKJACK,1336294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1333794, 'cansplit': 'false', 'player': [{'id': 48, 'value': 10}, {'id': 39, 'value': 1}], 'dealer': [{'id': 22, 'value': 10}, {'id': 44, 'value': 6}]}

1359,2017-02-05.21-59-28,21:18,HQSA:H9S9,,PLAYER_BLACKJACK,1351294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1348794, 'cansplit': 'false', 'player': [{'id': 37, 'value': 12}, {'id': 13, 'value': 1}], 'dealer': [{'id': 34, 'value': 9}, {'id': 21, 'value': 9}]}

1369,2017-02-05.21-59-30,21:13,SAHK:HTC3,,PLAYER_BLACKJACK,1336294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1333794, 'cansplit': 'false', 'player': [{'id': 13, 'value': 1}, {'id': 38, 'value': 13}], 'dealer': [{'id': 35, 'value': 10}, {'id': 2, 'value': 3}]}

1371,2017-02-05.21-59-31,21:16,CADK:CQD6,,PLAYER_BLACKJACK,1346294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1343794, 'cansplit': 'false', 'player': [{'id': 0, 'value': 1}, {'id': 51, 'value': 13}], 'dealer': [{'id': 11, 'value': 12}, {'id': 44, 'value': 6}]}

1373,2017-02-05.21-59-31,21:10,DKCA:H2D8,,PLAYER_BLACKJACK,1346294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1343794, 'cansplit': 'false', 'player': [{'id': 51, 'value': 13}, {'id': 0, 'value': 1}], 'dealer': [{'id': 27, 'value': 2}, {'id': 46, 'value': 8}]}

1407,2017-02-05.21-59-39,21:16,DJCA:D9D7,,PLAYER_BLACKJACK,1306294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1303794, 'cansplit': 'false', 'player': [{'id': 49, 'value': 11}, {'id': 0, 'value': 1}], 'dealer': [{'id': 47, 'value': 9}, {'id': 45, 'value': 7}]}

1443,2017-02-05.21-59-49,21:18,HADT:STS8,,PLAYER_BLACKJACK,1296294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1293794, 'cansplit': 'false', 'player': [{'id': 26, 'value': 1}, {'id': 48, 'value': 10}], 'dealer': [{'id': 22, 'value': 10}, {'id': 20, 'value': 8}]}

